MACsrc,ip_src,ip_dst,op,entropia_src,entropia_dst,cant_pkt_arp,cant_pkt_total
00:1b:21:7f:6c:fd,10.2.5.254,10.2.5.205,1,4.45256882505,3.62697333475,462,1097
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,4.44913917207,3.62120333808,463,1101
a8:06:00:10:71:8e,10.2.203.25,10.2.203.254,1,4.44609418488,3.61545191806,464,1102
6c:f0:49:19:dd:f9,10.2.6.250,10.2.6.18,1,4.45276353512,3.62983208501,465,1103
00:27:0e:38:3c:85,10.2.6.18,10.2.6.250,1,4.45835893445,3.63824541663,466,1104
8c:3a:e3:11:af:06,10.2.202.213,10.2.203.254,1,4.45593547203,3.63250150985,467,1105
00:1b:21:7f:6c:fd,10.2.7.254,10.2.7.205,1,4.45734215852,3.63644285377,468,1109
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,4.45393778752,3.63072768055,469,1111
8c:3a:e3:11:af:06,10.2.202.213,10.2.203.254,1,4.45149356267,3.62503068796,470,1113
00:1b:21:7f:6c:fd,10.2.203.254,10.2.201.161,1,4.44893990023,3.62928919976,471,1115
00:1b:21:7f:6c:fd,10.2.3.254,10.2.3.205,1,4.45217369957,3.63425954719,472,1117
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,4.44878804959,3.62859809635,473,1122
8c:3a:e3:11:af:06,10.2.202.213,10.2.203.254,1,4.44633772261,3.62295449424,474,1125
00:1b:21:7f:6c:fd,10.2.4.254,10.2.4.20,1,4.44855278466,3.63708081963,475,1127
a8:06:00:10:71:8e,10.2.203.25,10.2.203.254,1,4.44561008846,3.63144351338,476,1129
00:27:0e:33:8a:00,10.2.6.9,10.2.6.205,1,4.44928243152,3.63419182072,477,1130
8c:3a:e3:11:af:06,10.2.202.213,10.2.203.254,1,4.44681536487,3.62858454455,478,1131
d0:51:62:78:64:0d,10.2.200.65,10.2.203.254,1,4.44851074734,3.62299478792,479,1132
00:27:0e:33:8a:00,10.2.6.9,10.2.6.205,1,4.45174211295,3.6255744102,480,1133
00:1b:21:7f:6c:fd,10.2.7.254,10.2.7.205,1,4.45298734218,3.62923285259,481,1134
a8:06:00:10:71:8e,10.2.203.25,10.2.203.254,1,4.45005800034,3.62368317999,482,1135
d0:51:62:78:64:0d,10.2.200.65,10.2.203.254,1,4.45152750208,3.61815068859,483,1136
8c:3a:e3:11:af:06,10.2.202.213,10.2.203.254,1,4.44906398227,3.61263530698,484,1137
00:1b:21:7f:6c:fd,10.2.3.254,10.2.3.205,1,4.45191894855,3.61721486846,485,1142
6c:f0:49:19:dd:f9,10.2.2.250,10.2.2.249,1,4.46408788543,3.62698607711,486,1143
00:1b:21:7f:6c:fd,10.2.1.254,10.2.1.205,1,4.46513154422,3.63152956724,487,1144
00:1b:21:7f:6c:fd,10.2.7.254,10.2.7.205,1,4.46617699624,3.63491943876,488,1145
00:1b:21:7f:6c:fd,10.2.1.254,10.2.1.230,1,4.4670397043,3.63980997977,489,1146
00:1b:21:7f:6c:fd,10.2.2.254,10.2.2.230,1,4.46773161942,3.64468658042,490,1148
00:27:0e:33:8a:00,10.2.6.9,10.2.6.205,1,4.47054984241,3.64705793645,491,1150
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,4.46732876247,3.64160991974,492,1152
a8:06:00:10:71:8e,10.2.203.25,10.2.203.254,1,4.46445219071,3.63617833985,493,1153
8c:3a:e3:11:af:06,10.2.202.213,10.2.203.254,1,4.46201489511,3.63076313071,494,1154
00:27:0e:38:3b:bb,10.2.6.16,10.2.6.249,1,4.46995531251,3.63494859019,495,1155
00:1b:21:7f:6c:fd,10.2.7.254,10.2.7.205,1,4.47083961176,3.63810027341,496,1156
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,4.46763640784,3.63272004901,497,1158
00:1b:21:7f:6c:fd,10.2.1.254,10.2.1.230,1,4.46836297286,3.63721643947,498,1160
00:1b:21:7f:6c:fd,10.2.2.254,10.2.2.230,1,4.46893172795,3.64170061391,499,1161
8c:3a:e3:11:af:06,10.2.202.213,10.2.203.254,1,4.46649409833,3.63635153681,500,1163
00:1b:21:7f:6c:fd,10.2.3.254,10.2.3.205,1,4.46899603651,3.64051044617,501,1165
00:1b:21:7f:6c:fd,10.2.5.254,10.2.5.205,1,4.47094424856,3.64410902792,502,1166
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,4.4677713182,3.63879303671,503,1171
00:27:0e:38:3c:9d,10.2.6.5,10.2.6.250,1,4.47561015045,3.64580620583,504,1172
6c:f0:49:19:dd:f9,10.2.6.250,10.2.6.5,1,4.48095803682,3.65922323367,505,1173
8c:3a:e3:11:af:06,10.2.202.213,10.2.203.254,1,4.47850578983,3.65391476746,506,1174
d0:51:62:78:64:0d,10.2.200.65,10.2.203.254,1,4.47978432524,3.64862183627,507,1175
00:1b:21:7f:6c:fd,10.2.7.254,10.2.7.205,1,4.4805291929,3.65153708618,508,1176
a8:06:00:10:71:8e,10.2.203.25,10.2.203.254,1,4.47776048508,3.64626985005,509,1177
00:27:0e:38:3c:d6,10.2.6.3,10.2.6.205,1,4.48404084814,3.64850002763,510,1178
8c:3a:e3:11:af:06,10.2.202.213,10.2.203.254,1,4.48158206533,3.64325957404,511,1179
00:27:0e:38:3c:d6,10.2.6.3,10.2.6.205,1,4.48688400025,3.64534958679,512,1180
a8:06:00:10:71:8e,10.2.203.25,10.2.203.254,1,4.48410042394,3.64013592621,513,1182
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,4.48098990096,3.63493731059,514,1183
8c:3a:e3:11:af:06,10.2.202.213,10.2.203.254,1,4.47852706754,3.62975368232,515,1185
00:1b:21:7f:6c:fd,10.2.1.254,10.2.1.205,1,4.47915114435,3.63388704243,516,1186
00:27:0e:38:3c:d6,10.2.6.3,10.2.6.205,1,4.48372856744,3.63586253243,517,1187
00:1b:21:7f:6c:fd,10.2.5.254,10.2.5.205,1,4.48544326816,3.63921404017,518,1188
a8:06:00:10:71:8e,10.2.203.25,10.2.203.254,1,4.48268216564,3.63407312083,519,1191
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,4.47960285466,3.62894685044,520,1192
6c:f0:49:19:dd:f9,10.2.0.250,10.2.6.4,1,4.48725515086,3.64207065528,521,1195
8c:3a:e3:11:af:06,10.2.202.213,10.2.203.254,1,4.48480133465,3.63694893438,522,1197
00:27:0e:38:3c:b5,10.2.6.4,10.2.6.250,1,4.49624909892,3.64311603311,523,1198
00:1b:21:7f:6c:fd,10.2.5.254,10.2.5.205,1,4.49774001281,3.64623506354,524,1200
00:27:0e:38:3b:5c,10.2.6.2,10.2.6.249,1,4.50532049618,3.65003847661,525,1201
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,4.50222613622,3.64495124091,526,1203
00:27:0e:38:3c:d6,10.2.6.3,10.2.6.205,1,4.50617418912,3.64679033687,527,1204
8c:3a:e3:11:af:06,10.2.202.213,10.2.203.254,1,4.50369574407,3.64172870673,528,1206
00:27:0e:38:3c:d6,10.2.6.3,10.2.6.205,1,4.50717976919,3.6434532746,529,1211
18:00:2d:00:e4:dd,10.2.202.29,10.2.202.29,1,4.51847033888,3.65637351691,530,1214
00:1b:21:7f:6c:fd,10.2.203.254,10.2.200.117,1,4.51635084825,3.66925022172,531,1215
8c:3a:e3:11:af:06,10.2.202.213,10.2.203.254,1,4.5138456371,3.66419483602,532,1217
00:0a:eb:4a:71:31,10.2.1.31,10.2.1.254,1,4.51627627682,3.66794843987,533,1220
00:27:0e:38:3c:d6,10.2.6.3,10.2.6.205,1,4.51934228331,3.66951569797,534,1223
b8:af:67:a1:ea:9e,10.2.0.187,10.2.0.187,1,4.52323997332,3.67500184888,535,1224
00:1b:21:7f:6c:fd,10.2.2.254,10.2.2.205,1,4.5237180675,3.67872940279,536,1226
a8:06:00:10:71:8e,10.2.203.25,10.2.203.254,1,4.5210272785,3.67371864075,537,1229
8c:3a:e3:11:af:06,10.2.202.213,10.2.203.254,1,4.51852596377,3.66872160455,538,1230
00:1b:21:7f:6c:fd,10.2.5.254,10.2.5.205,1,4.51981832254,3.67159059479,539,1232
00:0a:eb:4a:71:31,10.2.1.31,10.2.1.254,1,4.52197367218,3.67507352291,540,1233
00:27:0e:38:3c:d6,10.2.6.3,10.2.6.249,1,4.52469002515,3.67854851351,541,1234
a8:06:00:10:71:8e,10.2.203.25,10.2.203.254,1,4.52200536554,3.67358939395,542,1237
8c:3a:e3:11:af:06,10.2.202.213,10.2.203.254,1,4.51950559932,3.66864370981,543,1238
00:0a:eb:4a:71:31,10.2.1.31,10.2.1.254,1,4.52142384061,3.67190477787,544,1240
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,4.51846506362,3.66698041405,545,1244
a8:06:00:10:71:8e,10.2.203.25,10.2.203.254,1,4.51579026716,3.66206932806,546,1245
8c:3a:e3:11:af:06,10.2.202.213,10.2.203.254,1,4.51329627924,3.65717147299,547,1246
6c:f0:49:19:dd:f9,10.2.6.250,10.2.6.7,1,4.51770590194,3.66973030241,548,1247
00:27:0e:38:36:c6,10.2.6.7,10.2.6.250,1,4.52503620567,3.67514410536,549,1248
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,4.52208580212,3.67025408388,550,1251
8c:3a:e3:11:af:06,10.2.202.213,10.2.203.254,1,4.5195753554,3.66537715416,551,1257
00:11:85:fe:47:cf,10.2.0.249,10.2.0.64,1,4.52200358118,3.67197031044,552,1259
00:11:85:fe:47:cf,10.2.0.249,10.2.0.65,1,4.52416642939,3.67854434786,553,1260
